item,itemLabel,P15_literal,P15_recon
https://monumenta.wikibase.cloud/entity/Q261,Vocabulario de vascuence,Zaldibia,Zaldibia
https://monumenta.wikibase.cloud/entity/Q266,"Vocabulario vasco-castellano, castellano-vasco",Zarautz,Zarautz
https://monumenta.wikibase.cloud/entity/Q284,Gure txoriak,Zarautz,Zarautz
https://monumenta.wikibase.cloud/entity/Q361,Diccionario: Vasco-Castellano,Zarautz,Zarautz
https://monumenta.wikibase.cloud/entity/Q375,Diccionario castellano-vasco,Zarautz,Zarautz
https://monumenta.wikibase.cloud/entity/Q281,Iztegi erdera-euskera,Buenos Aires,Buenos Aires
https://monumenta.wikibase.cloud/entity/Q343,"La lengua vasca: gramática, conversación, diccionario",Buenos Aires,Buenos Aires
https://monumenta.wikibase.cloud/entity/Q345,"La Lengua Vasca, gramática, conversación, diccionario vasco-castellano y castellano-vasco, por Isaac López Mendizábal",Buenos Aires,Buenos Aires
https://monumenta.wikibase.cloud/entity/Q347,Iztegi erdera-euskera = (Castellano-vasco),Buenos Aires,Buenos Aires
https://monumenta.wikibase.cloud/entity/Q348,Iztegi erdera-euskera,Buenos Aires,Buenos Aires
https://monumenta.wikibase.cloud/entity/Q350,Gramática vasca abreviada: con vocabulario castellano-vasco y vasco-castellano,Buenos Aires,Buenos Aires
https://monumenta.wikibase.cloud/entity/Q369,Diccionario vasco-castellano (euskera-erdera) = Iztegi euskera-erdera (vasco-castellano),Buenos Aires,Buenos Aires
https://monumenta.wikibase.cloud/entity/Q273,Otxandioko eskuizkribua,Otxandio,Otxandio
https://monumenta.wikibase.cloud/entity/Q278,Linguarum totius orbis vocabularia comparativa,Petropoli,Petropoli
https://monumenta.wikibase.cloud/entity/Q285,Euzkel-iztegitxua,Iruña,Iruña
https://monumenta.wikibase.cloud/entity/Q293,Dictionnaire Celtique,Besançon,Besançon
https://monumenta.wikibase.cloud/entity/Q296,Dictionnaire basque-français,Paris,Paris
https://monumenta.wikibase.cloud/entity/Q296,Dictionnaire basque-français,London,London
https://monumenta.wikibase.cloud/entity/Q300,"Diccionario trilingüe castellano, bascuence y latin dedicado á la M.N. y M.L. provincia de Guipuzcoa",San Sebastian,San Sebastian
https://monumenta.wikibase.cloud/entity/Q315,Baskisches Wörterbuch I II,Berlin,Berlin
https://monumenta.wikibase.cloud/entity/Q447,Basque Lexicography,Berlin,Berlin
https://monumenta.wikibase.cloud/entity/Q326,Vocabulario vasco-castellano,Bermeo,Bermeo
https://monumenta.wikibase.cloud/entity/Q344,Los nombres de parentesco en vascuence,Bermeo,Bermeo
https://monumenta.wikibase.cloud/entity/Q314,"Bizcaico icenen adierantza Guipuzcoan, ta Nafarroan, G. ta N.gaz adirazoric",Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q363,"Diccionario vasco-español-francés, con un apéndice donde se ofrecen numerosos términos recogidos por el autor durante medio siglo, tras la publicación de su obra",Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q367,"Diccionario vasco-español-francés, con un apéndice donde se ofrecen numerosos términos recogidos por el autor durante medio siglo, tras la publicación de su obra",Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q423,Euskararen herri hizkeren atlasa,Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q426,Euskara ibarguen-cachopin kronikan (XVI. mendea),Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q444,Bizkai mendebaldeko literatura-eskola klasikoaz: Añibarro eta Zabala,Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q766,"Hiztegia 80: euskara-espainiera, espainiera-euskara, vasco- español, español-vasco",Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q775,3000 hiztegia,Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q790,"Historian ez gara, beharbada, hain bakarrik ibili",Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q791,"Akademiaren sukaldeko lanetan, goxo-goxo",Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q792,"Inguma eta Wikidata uztartuz, euskarazko zientziaren ezagutza-graforantz",Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q793,Itxaropenako artxibategiko altxorrak: Gabriel Arestiren bi liburuen makinizkribuak,Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q794,Miren Azkarateri esker onez,Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q806,"Morfologia Konputazionala Euskaraz, 35 urte",Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q325,Quelques extraits du vocabulaire basque,Don Ibanen,Don Ibanen
https://monumenta.wikibase.cloud/entity/Q313,"Commentatio qua trinarum linguarum vasconum, belgarum et celtarum, quarum reliquiae in linguis vasconica, cymry et galic supersunt, discrimen et diversa cuiusque indoles docetur",Gottingae,Gottingae
https://monumenta.wikibase.cloud/entity/Q304,"Diccionario de los nombres euskaros de las plantas en correspondencia con los vulgares, castellanos y franceses y científicos latinos",Iruñea,Iruñea
https://monumenta.wikibase.cloud/entity/Q309,Diccionario Bascongado,Loiola,Loiola
https://monumenta.wikibase.cloud/entity/Q324,Textos arcaicos vascos,Madrid,Madrid
https://monumenta.wikibase.cloud/entity/Q333,Nombres vulgares de animales y de plantas usados en Álava y no incluídos en el Diccionario de la Real Academia Española (décimotercera edición),Madrid,Madrid
https://monumenta.wikibase.cloud/entity/Q312,Colección alfabética de apellidos vascongados con su significado,México,México
https://monumenta.wikibase.cloud/entity/Q305,"Diccionario de los nombres euskaros de las plantas en correspondencia con los vulgares, castellanos y franceses y científicos latinos",Pamplona,Pamplona
https://monumenta.wikibase.cloud/entity/Q318,Castellano y vasco en el habla de Orio: estudio sobre lengua tradicional e importada,Pamplona,Pamplona
https://monumenta.wikibase.cloud/entity/Q346,La cocina navarra. Recetario de platos navarros. Nomenclatura euskérica de los principales utensilios de la cocina navarra,Pamplona,Pamplona
https://monumenta.wikibase.cloud/entity/Q364,Diccionario vasco-caldaico-castellano,Pamplona,Pamplona
https://monumenta.wikibase.cloud/entity/Q388,Adiciones al vocabulario navarro,Pamplona,Pamplona
